order_id,order_number,order_date,paid_date,status,shipping_total,shipping_tax_total,fee_total,fee_tax_total,tax_total,cart_discount,order_discount,discount_total,order_total,order_subtotal,order_currency,payment_method,payment_method_title,transaction_id,customer_ip_address,customer_user_agent,shipping_method,customer_id,customer_user,customer_email,billing_first_name,billing_last_name,billing_company,billing_email,billing_phone,billing_address_1,billing_address_2,billing_postcode,billing_city,billing_state,billing_country,order_notes,line_item_1,line_item_2,line_item_3,line_item_4,line_item_5,line_item_6,line_item_7,line_item_8,line_item_9,line_item_10
59116,59116,"2026-07-28 09:32:39",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,354.00,354.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1506,1506,werttyy@gh.com,"Aahok Nagar",,,werttyy@gh.com,7904796445,26CF+G69,"Suriyammapet (Land Mark - null)",600015,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 09:33:00|customer:0|added_by:","name:Cold Pressed Unsulphured Coconut Oil 500 ml|product_id:90|sku:|quantity:1|total:285.00|sub_total:285.00","name:Homemade  Idly Dosa Batter 1 kg|product_id:92|sku:|quantity:1|total:69.00|sub_total:69.00",,,,,,,,
59117,59117,"2026-07-28 09:47:12",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,138.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1532,1532,info.Madrasmilk2@gmail.com,mm,,,info.Madrasmilk2@gmail.com,9362333777,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 09:48:13|customer:0|added_by:","name:Homemade  Idly Dosa Batter 1 kg|product_id:92|sku:|quantity:2|total:138.00|sub_total:138.00",,,,,,,,,
59118,59118,"2026-07-28 09:48:16",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,138.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1532,1532,info.Madrasmilk2@gmail.com,mm,,,info.Madrasmilk2@gmail.com,9362333777,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 09:48:46|customer:0|added_by:","name:Homemade  Idly Dosa Batter 1 kg|product_id:92|sku:|quantity:2|total:138.00|sub_total:138.00",,,,,,,,,
59119,59119,"2026-07-28 11:59:34",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.00,102.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 12:00:39|customer:0|added_by:","name:Milagu (Black  Pepper)  100 g|product_id:88|sku:|quantity:1|total:102.00|sub_total:102.00",,,,,,,,,
59120,59120,"2026-07-28 11:59:59",,pending,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,79.00,INR,,,,,,,1508,1508,aswickjothi27@gmail.com,Aswick,,,aswickfas@gmail.com,,"Anna Nagar",,600001,Chennai,TN,IN,"content:Manual renewal order awaiting customer payment.|date:2026-07-28 11:59:59|customer:0|added_by:","name:Cow Milk 3/4 Litre|product_id:80|sku:|quantity:1|total:79.00|sub_total:79.00",,,,,,,,,
59121,59121,"2026-07-28 12:00:41",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.00,102.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 12:01:02|customer:0|added_by:","name:Milagu (Black  Pepper)  100 g|product_id:88|sku:|quantity:1|total:102.00|sub_total:102.00",,,,,,,,,
59122,59122,"2026-07-28 12:01:19",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.00,102.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 12:02:23|customer:0|added_by:","name:Milagu (Black  Pepper)  100 g|product_id:88|sku:|quantity:1|total:102.00|sub_total:102.00",,,,,,,,,
59123,59123,"2026-07-28 12:04:18",,pending,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,109.00,INR,,,,,,,1508,1508,aswickjothi27@gmail.com,Aswick,,,aswickfas@gmail.com,,"Anna Nagar",,600001,Chennai,TN,IN,"content:Manual renewal order awaiting customer payment.|date:2026-07-28 12:04:18|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59124,59124,"2026-07-28 12:19:40",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,138.00,138.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1532,1532,info.Madrasmilk2@gmail.com,mm,,,info.Madrasmilk2@gmail.com,9362333777,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 12:20:16|customer:0|added_by:","name:Homemade  Idly Dosa Batter 1 kg|product_id:92|sku:|quantity:2|total:138.00|sub_total:138.00",,,,,,,,,
59125,59125,"2026-07-28 12:54:00",,pending,0,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,1569.00,69.00,INR,,,,183.82.205.150,"Dart/3.10 (dart:io)",,1533,1533,shootsid@gmail.com,"Sidharth test",,,shootsid@gmail.com,9176660880,"sf 137","Krishna Nagar 2nd Street (Land Mark - null)",600048,Chennai,TN,IN,,"name:Cow Milk 1/2 Litre|product_id:81|sku:|quantity:1|total:69.00|sub_total:69.00",,,,,,,,,
59127,59127,"2026-07-28 13:33:38",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,INR,,,,122.167.96.101,"Dart/3.10 (dart:io)",,1506,1506,werttyy@gh.com,"Aahok Nagar",,,werttyy@gh.com,7904796445,26CF+G69,"Suriyammapet (Land Mark - null)",600015,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
59129,59129,"2026-07-28 13:35:56","2026-07-28 13:36:32",processing,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1506,1506,werttyy@gh.com,"Aahok Nagar",,,werttyy@gh.com,7904796445,26CF+G69,"Suriyammapet (Land Mark - null)",600015,Chennai,TN,IN,"content:Email ""New order"" failed to send: Could not instantiate mail function..|date:2026-07-28 13:36:32|customer:0|added_by:||content:Order status changed from Pending payment to Processing.|date:2026-07-28 13:36:32|customer:0|added_by:||content:Email ""Processing order"" failed to send: Could not instantiate mail function..|date:2026-07-28 13:36:33|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
59130,59130,"2026-07-28 13:50:58",,pending,0,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,1579.00,79.00,INR,,,,115.97.232.149,"Dart/3.10 (dart:io)",,1508,1508,aswickjothi27@gmail.com,Aswick,,,aswickjothi27@gmail.com,9626772779,2sdd,"22222 (Land Mark - null)",600003,Chennai,TN,IN,,"name:Cow Milk 3/4 Litre|product_id:80|sku:|quantity:1|total:79.00|sub_total:79.00",,,,,,,,,
59132,59132,"2026-07-28 13:51:04",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,69.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1506,1506,werttyy@gh.com,"Aahok Nagar",,,werttyy@gh.com,7904796445,26CF+G69,"Suriyammapet (Land Mark - null)",600015,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 13:52:14|customer:0|added_by:","name:Buffalo Milk 1/2 Litre|product_id:78|sku:|quantity:1|total:69.00|sub_total:69.00",,,,,,,,,
59133,59133,"2026-07-28 13:52:25",,pending,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,599.00,599.00,INR,ccavenue,CCAvenue,,49.204.137.12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:153.0) Gecko/20100101 Firefox/153.0","Free shipping",2,2,info@madrasmilk.com,Madrasmilkxxdzfdxg,dgd,,fxgdgfj-123@gmail.com,9362333666,fsdgcvxdgfxvd,dfds,600017,Chennai,TN,IN,,"name:A2 Cow Ghee 500 ml|product_id:84|sku:|quantity:1|total:599.00|sub_total:599.00|meta:_wcsatt_scheme:0",,,,,,,,,
59134,59134,"2026-07-28 14:32:17",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,INR,,,,106.192.67.176,"Dart/3.10 (dart:io)",,1532,1532,info.Madrasmilk2@gmail.com,mm,,,info.Madrasmilk2@gmail.com,9362333777,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
59137,59137,"2026-07-28 15:09:39",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,INR,,,,106.195.38.195,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
59139,59139,"2026-07-28 15:11:02",,pending,0,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,1579.00,79.00,INR,,,,106.195.38.195,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 3/4 Litre|product_id:80|sku:|quantity:1|total:79.00|sub_total:79.00",,,,,,,,,
59143,59143,"2026-07-28 20:15:15",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,54.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1506,1506,werttyy@gh.com,"Aahok Nagar",,,werttyy@gh.com,7904796445,26CF+G69,"Suriyammapet (Land Mark - null)",600015,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-28 20:15:57|customer:0|added_by:","name:A2 Maharaja Malai  Curd|product_id:86|sku:|quantity:1|total:54.00|sub_total:54.00",,,,,,,,,
59144,59144,"2026-07-29 04:27:05","2026-07-29 4:27:42",processing,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,54.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1506,1506,werttyy@gh.com,"Aahok Nagar",,,werttyy@gh.com,7904796445,26CF+G69,"Suriyammapet (Land Mark - null)",600015,Chennai,TN,IN,"content:Order status changed from Pending payment to Processing.|date:2026-07-29 04:27:42|customer:0|added_by:||content:Email ""Processing order"" failed to send: Could not instantiate mail function..|date:2026-07-29 04:27:43|customer:0|added_by:||content:Email ""New order"" failed to send: Could not instantiate mail function..|date:2026-07-29 04:27:43|customer:0|added_by:","name:A2 Maharaja Malai  Curd|product_id:86|sku:|quantity:1|total:54.00|sub_total:54.00",,,,,,,,,
59145,59145,"2026-07-29 14:41:35",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,109.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-29 14:42:12|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59146,59146,"2026-07-29 14:42:41",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,163.00,163.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-29 14:42:49|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00","name:A2 Maharaja Malai  Curd|product_id:86|sku:|quantity:1|total:54.00|sub_total:54.00",,,,,,,,
59147,59147,"2026-07-29 14:42:58","2026-07-29 14:43:18",processing,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,54.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Processing.|date:2026-07-29 14:43:18|customer:0|added_by:||content:Email ""Processing order"" failed to send: Could not instantiate mail function..|date:2026-07-29 14:43:19|customer:0|added_by:||content:Email ""New order"" failed to send: Could not instantiate mail function..|date:2026-07-29 14:43:19|customer:0|added_by:","name:A2 Maharaja Malai  Curd|product_id:86|sku:|quantity:1|total:54.00|sub_total:54.00",,,,,,,,,
59148,59148,"2026-07-29 14:51:20",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,223.239.56.19,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59150,59150,"2026-07-29 14:51:57",,pending,0,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,1579.00,79.00,INR,,,,223.239.56.19,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Buffalo Milk 3/4 Litre|product_id:77|sku:|quantity:1|total:79.00|sub_total:79.00",,,,,,,,,
59152,59152,"2026-07-29 14:57:17",,pending,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,109.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,673,673,surendar322@gmail.com,surendar,,,surendar322@gmail.com,7598132770,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59153,59153,"2026-07-29 15:07:15",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,27.61.59.171,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59155,59155,"2026-07-29 15:11:21",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,79.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,673,673,surendar322@gmail.com,surendar,,,surendar322@gmail.com,7598132770,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-29 15:12:06|customer:0|added_by:","name:Cow Milk 3/4 Litre|product_id:80|sku:|quantity:1|total:79.00|sub_total:79.00",,,,,,,,,
59156,59156,"2026-07-29 15:11:25",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,27.61.59.171,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59158,59158,"2026-07-29 15:11:55",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,129.00,129.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-29 15:12:38|customer:0|added_by:","name:Nattu Muttai Country Eggs 6 nos.|product_id:87|sku:|quantity:1|total:129.00|sub_total:129.00",,,,,,,,,
59159,59159,"2026-07-29 15:13:03",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,27.61.59.171,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59161,59161,"2026-07-29 15:16:32",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,27.61.59.171,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59163,59163,"2026-07-29 15:19:44",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,223.239.57.23,"Dart/3.10 (dart:io)",,673,673,surendar322@gmail.com,surendar,,,surendar322@gmail.com,7598132770,21/54A,"T Nagar (Land Mark - null)",600017,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59165,59165,"2026-07-29 15:20:35",,pending,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,110.00,109.00,INR,,,,27.61.59.171,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:109.00|sub_total:109.00",,,,,,,,,
59167,59167,"2026-07-29 16:08:13",,pending,0,0.00,1500.00,0.00,0.00,0.00,0.00,0.00,1579.00,79.00,INR,,,,106.192.173.6,"Dart/3.10 (dart:io)",,706,706,kay@lightmen.ooo,RTHTR,,,kay@lightmen.ooo,9944052420,22,"S W Boag Rd (Land Mark - null)",600035,Chennai,TN,IN,,"name:Cow Milk 3/4 Litre|product_id:80|sku:|quantity:1|total:79.00|sub_total:79.00",,,,,,,,,
59169,59169,"2026-07-29 16:48:43",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1508,1508,aswickjothi27@gmail.com,Aswick,,,aswickjothi27@gmail.com,9626772779,2sdd,"22222 (Land Mark - null)",600003,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-29 16:49:04|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
59170,59170,"2026-07-29 16:49:08",,cancelled,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1508,1508,aswickjothi27@gmail.com,Aswick,,,aswickjothi27@gmail.com,9626772779,2sdd,"22222 (Land Mark - null)",600003,Chennai,TN,IN,"content:Order status changed from Pending payment to Cancelled.|date:2026-07-29 16:49:55|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
59171,59171,"2026-07-29 16:49:59","2026-07-29 16:51:39",processing,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,INR,"UPI, Cards, Net Banking","Online Payment",,,,,1508,1508,aswickjothi27@gmail.com,Aswick,,,aswickjothi27@gmail.com,9626772779,2sdd,"22222 (Land Mark - null)",600003,Chennai,TN,IN,"content:Email ""New order"" failed to send: Could not instantiate mail function..|date:2026-07-29 16:51:39|customer:0|added_by:||content:Order status changed from Pending payment to Processing.|date:2026-07-29 16:51:39|customer:0|added_by:||content:Email ""Processing order"" failed to send: Could not instantiate mail function..|date:2026-07-29 16:51:40|customer:0|added_by:","name:Cow Milk 1 Litre|product_id:82|sku:|quantity:1|total:1.00|sub_total:1.00",,,,,,,,,
